cmpdname,mw,polararea,heavycnt,hbonddonor,hbondacc,rotbonds,isosmiles,exactmass,monoisotopicmass,xlogp
Diisooctyl phosphate,322.42,55.8,21,1,4,14,CC(C)CCCCCOP(=O)(O)OCCCCCC(C)C,322.227,322.227,5.2
3-(Methylthio)-2-butanone,118.2,42.4,7,0,2,2,CC(C(=O)C)SC,118.045,118.045,1
"3',5'-Dihydroxyacetophenone",152.15,57.5,11,2,3,1,CC(=O)C1=CC(=CC(=C1)O)O,152.047,152.047,0.9
Ethyl butylacetylaminopropionate,215.29,46.6,15,0,3,8,CCCCN(CCC(=O)OCC)C(=O)C,215.152,215.152,1.2
Methionylmethionine,280.4,143,17,3,6,9,CSCCC(C(=O)NC(CCSC)C(=O)O)N,280.092,280.092,-2.6
2-Ethoxy-6-methylpyrazine,138.17,35,10,0,3,2,CCOC1=NC(=CN=C1)C,138.079,138.079,1.8
"4,5-Dimethyl-2-propyloxazole",139.19,26,10,0,2,2,CCCC1=NC(=C(O1)C)C,139.1,139.1,2.3
"2-Acetyl-3,5-dimethylpyrazine",150.18,42.8,11,0,3,1,CC1=CN=C(C(=N1)C)C(=O)C,150.079,150.079,0.6
"2-Acetyl-3,6-dimethylpyrazine",150.18,42.8,11,0,3,1,CC1=CN=C(C(=N1)C(=O)C)C,150.079,150.079,0.6
Fulvestrant,606.8,76.7,41,2,9,14,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,606.317,606.317,9.2
Fotemustine,315.69,97.3,19,1,6,8,CCOP(=O)(C(C)NC(=O)N(CCCl)N=O)OCC,315.075,315.075,0.9
Bosentan,551.6,154,39,2,11,11,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,551.184,551.184,3.8
Cyfluthrin,434.3,59.3,29,0,5,7,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,433.065,433.065,6.2
Methoxyfenozide,368.5,58.6,27,1,3,4,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C,368.21,368.21,4.6
"4-Oxo-4-[(1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl)oxy]butanoic acid",384.4,101,27,1,8,5,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,384.178,384.178,2.5
2-Ethoxy-5-methylpyrazine,138.17,35,10,0,3,2,CCOC1=NC=C(N=C1)C,138.079,138.079,0.8
2-(Methyldithio)isobutyraldehyde,150.3,67.7,8,0,3,3,CC(C)(C=O)SSC,150.017,150.017,1
5-Hexyl-4-methyldihydrofuran-2(3H)-one,184.27,26.3,13,0,2,5,CCCCCCC1C(CC(=O)O1)C,184.146,184.146,3.6
"6,6-Dimethoxy-2,5,5-trimethylhex-2-ene",186.29,18.5,13,0,2,5,CC(=CCC(C)(C)C(OC)OC)C,186.162,186.162,3.2
"Azulene, 1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, (1S,4S,7R)-",204.35,0,15,0,0,1,CC1CCC(CC2=C1CCC2C)C(=C)C,204.188,204.188,4.6
Ambrox,236.39,9.2,17,0,1,0,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C,236.214,236.214,4.7
"2,2,6-Trimethyl-1-oxaspiro[2.5]oct-5-ene",152.23,12.5,11,0,1,0,CC1=CCC2(CC1)C(O2)(C)C,152.12,152.12,1.8
"2,4,6-Trimethyl-4-phenyl-1,3-dioxane",206.28,18.5,15,0,2,1,CC1CC(OC(O1)C)(C)C2=CC=CC=C2,206.131,206.131,2.7
Val-val,216.28,92.4,15,3,4,5,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,216.147,216.147,-2.8
Thiamethoxam,291.72,115,18,0,6,2,CN1COCN(C1=N[N+](=O)[O-])CC2=CN=C(S2)Cl,291.019,291.019,1.5
Dihydroergocristine,611.7,118,45,3,6,5,CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,611.311,611.311,3.3
Indoxacarb,527.8,107,36,0,11,5,COC(=O)[C@]12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,527.071,527.071,4.8
Propionylcarnitine,217.26,66.4,15,0,4,6,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,217.131,217.131,0.9
2-Aminopropiophenone,149.19,43.1,11,1,2,2,CC(C(=O)C1=CC=CC=C1)N,149.084,149.084,1.1
3-Hydroxypentanoic acid,118.13,57.5,8,2,3,3,CCC(CC(=O)O)O,118.063,118.063,0
Perindopril,368.5,95.9,26,2,6,9,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O,368.231,368.231,0.9
(-)-Epicatechin gallate,442.4,177,32,7,10,4,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,442.09,442.09,1.5
Fingolimod,307.5,66.5,22,3,3,12,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,307.251,307.251,4.2
Daidzin,416.4,146,30,5,9,4,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,416.111,416.111,0.7
Dihydrocapsaicin,307.4,58.6,22,2,3,10,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,307.215,307.215,4.4
Asiaticoside,959.1,315,67,12,19,10,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O,958.514,958.514,0.1
Sphondin,216.19,48.7,16,0,4,1,COC1=C2C(=C3C(=C1)C=CC(=O)O3)C=CO2,216.042,216.042,2.2
Hexachloronaphthalene,334.8,0,16,0,0,0,C1=CC(=C(C2=C1C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl,333.826,331.829,6.9
3-(Acetylthio)-2-methylfuran,156.2,55.5,10,0,3,2,CC1=C(C=CO1)SC(=O)C,156.025,156.025,1.7
"2-Methoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",210.23,47.9,15,1,4,2,CC1COC(O1)C2=CC(=C(C=C2)O)OC,210.089,210.089,1.4
"2-Ethoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",224.25,47.9,16,1,4,3,CCOC1=C(C=CC(=C1)C2OCC(O2)C)O,224.105,224.105,1.7
Citronellyl anthranilate,275.4,52.3,20,1,3,8,CC(CCC=C(C)C)CCOC(=O)C1=CC=CC=C1N,275.189,275.189,5.9
Maltol propionate,182.17,52.6,13,0,4,3,CCC(=O)OC1=C(OC=CC1=O)C,182.058,182.058,0.9
Tadalafil,389.4,74.9,29,1,4,1,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,389.138,389.138,2.3
Cycloionone,192.3,9.2,14,0,1,0,CC1=CC=C2C(CCCC2(O1)C)(C)C,192.151,192.151,3.4
"3,7-Dimethyloctanal",156.26,17.1,11,0,1,6,CC(C)CCCC(C)CC=O,156.151,156.151,3.4
Bornyl valerate,238.37,26.3,17,0,2,5,CCCCC(=O)OC1CC2CCC1(C2(C)C)C,238.193,238.193,4.7
3-(4-Methylcyclohex-3-en-1-yl)butanal,166.26,17.1,12,0,1,3,CC1=CCC(CC1)C(C)CC=O,166.136,166.136,2.3
2-Ethyl-1-hexanethiol,146.3,1,9,1,1,5,CCCCC(CC)CS,146.113,146.113,4
Ethyl 3-hydroxyoctanoate,188.26,46.5,13,1,3,8,CCCCCC(CC(=O)OCC)O,188.141,188.141,2.1
alpha-Terpinyl acetate,196.29,26.3,14,0,2,3,CC1=CCC(CC1)C(C)(C)OC(=O)C,196.146,196.146,2.4
Cholesterol Valerate,470.8,26.3,34,0,2,10,CCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,470.412,470.412,10.5
Citronellyl isovalerate,240.38,26.3,17,0,2,9,CC(C)CC(=O)OCCC(C)CCC=C(C)C,240.209,240.209,5
Anserine,240.26,110,17,3,5,6,CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN,240.122,240.122,-4
Rhubafuran,176.25,9.2,13,0,1,1,CC1CC(CO1)(C)C2=CC=CC=C2,176.12,176.12,2.9
Citronellyl hexanoate,254.41,26.3,18,0,2,11,CCCCCC(=O)OCCC(C)CCC=C(C)C,254.225,254.225,5.7
1-(1-Ethoxyethoxy)pentane,160.25,18.5,11,0,2,7,CCCCCOC(C)OCC,160.146,160.146,2.6
"1,2,4,5,7-Pentachloronaphthalene",300.4,0,15,0,0,0,C1=C(C=C(C2=C1C(=C(C=C2Cl)Cl)Cl)Cl)Cl,299.865,297.868,6.4
"5H-Benzocyclohepten-5-one, 1,8-bis((2R,3R)-3,5,7-trihydroxy-2H-1-benzopyran-2-yl)-3,4,6-trihydroxy-",564.5,218,41,9,12,2,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=O)C(=C4C(=C3)C(=CC(=C4O)O)[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)O)O)O,564.127,564.127,0.6
Bromodichloroacetic acid,207.83,37.3,7,1,2,1,C(=O)(C(Cl)(Cl)Br)O,205.854,205.854,1.8
Oxymatrine,264.36,38.4,19,0,2,0,C1C[C@@H]2[C@H]3CCC[N+]4([C@H]3[C@@H](CCC4)CN2C(=O)C1)[O-],264.184,264.184,1
Cinnabarinic acid,300.22,139,22,3,8,2,C1=CC(=C2C(=C1)OC3=CC(=O)C(=C(C3=N2)C(=O)O)N)C(=O)O,300.038,300.038,0.8
Dihydroergocryptine,577.7,118,42,3,6,5,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@@H]4C[C@H]5[C@@H](CC6=CNC7=CC=CC5=C67)N(C4)C)O,577.326,577.326,3.1
Halofenozide,330.8,49.4,23,1,2,3,CC(C)(C)N(C(=O)C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)Cl,330.114,330.114,3
Thiacloprid,252.72,77.6,16,0,4,2,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,252.024,252.024,2.2
Paliperidone,426.5,82.2,31,1,7,4,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,426.207,426.207,2.2
Dibromochloroacetic acid,252.29,37.3,7,1,2,1,C(=O)(C(Cl)(Br)Br)O,251.801,249.803,2
Nitisinone,329.23,97,23,0,8,2,C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],329.051,329.051,2.3
4'-Hydroxydiclofenac,312.1,69.6,20,3,4,4,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,311.012,311.012,3.7
"2,6,9,10-Tetramethyl-1-oxaspiro(4.5)deca-3,6-diene",192.3,9.2,14,0,1,0,CC1CC=C(C2(C1C)C=CC(O2)C)C,192.151,192.151,2.9
Bis(2-ethylhexyl) tetrabromophthalate,706.1,52.6,32,0,4,16,CCCCC(CC)COC(=O)C1=C(C(=C(C(=C1Br)Br)Br)Br)C(=O)OCC(CC)CCCC,705.915,701.919,10.6
Ethyl 4-methylpentanoate,144.21,26.3,10,0,2,5,CCOC(=O)CCC(C)C,144.115,144.115,2.1
Gentianose,504.4,269,34,11,16,8,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,504.169,504.169,-5.8
Decatone,194.31,17.1,14,0,1,1,CC(C)C1CCC2CC(=O)CCC2C1,194.167,194.167,3.5
(4-Methylcyclohexyl)methanol,128.21,20.2,9,1,1,1,CC1CCC(CC1)CO,128.12,128.12,2.2
Leu-met,262.37,118,17,3,5,8,CC(C)CC(C(=O)NC(CCSC)C(=O)O)N,262.135,262.135,-1.9
S-Isopropyl 3-methylbut-2-enethioate,158.26,42.4,10,0,2,3,CC(C)SC(=O)C=C(C)C,158.077,158.077,2.9
10-Undecen-2-one,168.28,17.1,12,0,1,8,CC(=O)CCCCCCCC=C,168.151,168.151,3.7
Marimastat,331.41,128,23,5,5,8,CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@H](C(=O)NC)C(C)(C)C,331.211,331.211,0.5
Asiatic acid,488.7,98,35,4,5,2,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,488.35,488.35,5.7
1'-Acetoxychavicol acetate,234.25,52.6,17,0,4,6,CC(=O)OC1=CC=C(C=C1)[C@H](C=C)OC(=O)C,234.089,234.089,2.2
Clofarabine,303.68,119,20,3,8,2,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,303.053,303.053,0.9
Matairesinol,358.4,85.2,26,2,6,6,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)O,358.142,358.142,3.3
"3,4-Dihydroxyphenylacetaldehyde",152.15,57.5,11,2,3,2,C1=CC(=C(C=C1CC=O)O)O,152.047,152.047,0.4
Kievitone,356.4,107,26,4,6,3,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(CO2)C3=C(C=C(C=C3)O)O)C,356.126,356.126,4.1
Muricholic acid,408.6,98,29,4,5,4,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(C([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,408.288,408.288,3.9
Pramipexole,211.33,79.2,14,2,4,3,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,211.114,211.114,1.9
Valdecoxib,314.4,94.6,22,1,5,3,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,314.073,314.073,2.6
Isopentyl p-anisate,222.28,35.5,16,0,3,6,CC(C)CCOC(=O)C1=CC=C(C=C1)OC,222.126,222.126,3.9
Validol,240.38,26.3,17,0,2,5,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CC(C)C)C(C)C,240.209,240.209,4.9
Isopropyl nonanoate,200.32,26.3,14,0,2,9,CCCCCCCCC(=O)OC(C)C,200.178,200.178,4.5
Carglumic acid,190.15,130,13,4,5,5,C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N,190.059,190.059,-2.4
"1,1,6-Trimethyl-1,2-dihydronaphthalene",172.27,0,13,0,0,0,CC1=CC2=C(C=C1)C(CC=C2)(C)C,172.125,172.125,4.2
"4-Ethyl-2,5-dimethyloxazole",125.17,26,9,0,2,1,CCC1=C(OC(=N1)C)C,125.084,125.084,2
Pinocarvone,150.22,17.1,11,0,1,0,CC1(C2CC1C(=C)C(=O)C2)C,150.104,150.104,2.2
"1-Methyl-1,3-cyclohexadiene",94.15,0,7,0,0,0,CC1=CC=CCC1,94.0783,94.0783,2.1
Mitiglinide,315.4,57.6,23,1,3,5,C1CC[C@H]2CN(C[C@H]2C1)C(=O)C[C@H](CC3=CC=CC=C3)C(=O)O,315.183,315.183,3
Retigabine,303.33,76.4,22,3,5,6,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,303.138,303.138,2.8
"1D-myo-Inositol 3,4,5,6-tetrakisphosphate",500.08,308,28,10,18,8,[C@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@H]1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)O,499.929,499.929,-8.1
2-Amino-3-prop-2-enylsulfinylpropanoic acid,177.22,99.6,11,2,5,5,C=CCS(=O)CC(C(=O)O)N,177.046,177.046,-3.5
Zoxamide,336.6,46.2,20,1,2,5,CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl,335.025,335.025,4.3
"Methyl (1R,2R,5S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate",303.35,55.8,22,0,5,5,CN1[C@H]2CC[C@@H]1[C@H](C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,303.147,303.147,2.3
"2,4-Diethylthiazole",141.24,41.1,9,0,2,2,CCC1=CSC(=N1)CC,141.061,141.061,2.6
"3,5-Dimethyl-2-propylpyrazine",150.22,25.8,11,0,2,2,CCCC1=NC=C(N=C1C)C,150.116,150.116,1.7
Celastrol,450.6,74.6,33,2,4,1,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,450.277,450.277,5.9
Procyanidin B2,578.5,221,42,10,12,3,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.142,578.142,2.4
Aromadendrin,288.25,107,21,4,6,1,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,288.063,288.063,1.8
2-Ethoxy-3-methylpyrazine,138.17,35,10,0,3,2,CCOC1=NC=CN=C1C,138.079,138.079,1.8
Isopropylbiphenyl,196.29,0,15,0,0,2,CC(C)C1=CC=CC=C1C2=CC=CC=C2,196.125,196.125,4.7
Ethyl methyl disulfide,108.23,50.6,5,0,2,2,CCSSC,108.007,108.007,1.3
Lactaroviolin,210.27,17.1,16,0,1,2,CC1=C2C=CC(=C2C=C(C=C1)C(=C)C)C=O,210.104,210.104,4.1
Almotriptan,335.5,64.8,23,1,4,6,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,335.167,335.167,1.6
Integrilin,832,377,57,10,12,10,C1CC2C(=O)NC(CSSCCC(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CNC4=CC=CC=C43)CC(=O)O)CCCCN=C(N)N)C(=O)N,831.316,831.316,-2.4
Imiprothrin,318.4,66.9,23,0,4,6,CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)CN(C2=O)CC#C)C,318.158,318.158,2.1
"2-[N-[(3,5-difluorophenyl)carbamoylamino]-C-methylcarbonimidoyl]pyridine-3-carboxylic acid",334.28,104,24,3,7,4,CC(=NNC(=O)NC1=CC(=CC(=C1)F)F)C2=C(C=CC=N2)C(=O)O,334.088,334.088,1.8
Clofencet,278.69,70,19,1,5,3,CCC1=C(C(=O)C=NN1C2=CC=C(C=C2)Cl)C(=O)O,278.046,278.046,3.3
Gefitinib,446.9,68.7,31,1,8,8,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,446.152,446.152,4.1
Lofentanyl,408.5,49.8,30,0,4,8,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2C)CCC3=CC=CC=C3)C(=O)OC,408.241,408.241,4.2
Alphazurine,748.9,197,51,2,10,11,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)O)C=C3)C5=CC=CC=C5S(=O)(=O)O,748.158,748.158,4.7
N-omega-Hydroxy-L-arginine,190.2,134,13,5,5,6,C(C[C@@H](C(=O)O)N)CN=C(N)NO,190.107,190.107,-4.3
l-Alanyl-l-glutamine,217.22,136,15,4,5,6,C[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)O)N,217.106,217.106,-4.4
Dehydroalanine,87.08,63.3,6,2,3,1,C=C(C(=O)O)N,87.032,87.032,-0.1
Tetrahydrocurcumin,372.4,93.1,27,2,6,10,COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O,372.157,372.157,2.8
Desloratadine,310.8,24.9,22,1,2,0,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,310.124,310.124,4.5
4-Phenylbutyl isothiocyanate,191.29,44.4,13,0,2,5,C1=CC=C(C=C1)CCCCN=C=S,191.077,191.077,4.3
Glutathione,307.33,160,20,6,8,9,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,307.084,307.084,-4.5
Desvenlafaxine,263.37,43.7,19,2,3,4,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,263.189,263.189,2.6
Icaridin,229.32,49.8,16,1,3,5,CCC(C)OC(=O)N1CCCCC1CCO,229.168,229.168,2
Tiglic acid,100.12,37.3,7,1,2,1,C/C=C(\C)/C(=O)O,100.052,100.052,1
Blonanserin,367.5,19.4,27,0,4,3,CCN1CCN(CC1)C2=NC3=C(CCCCCC3)C(=C2)C4=CC=C(C=C4)F,367.242,367.242,5.5
"2-[(1r,3s)-3-Hydroxycyclohexyl]-5-(2-methyloctan-2-yl)phenol",318.5,40.5,23,2,2,7,CCCCCCC(C)(C)C1=CC(=C(C=C1)[C@@H]2CCC[C@@H](C2)O)O,318.256,318.256,6.7
Methotrexate,454.4,211,33,5,12,9,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,454.171,454.171,-1.8
Reboxetine,313.4,39.7,23,1,4,6,CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3,313.168,313.168,3
Salvinorin A,432.5,109,31,0,8,5,CC(=O)O[C@H]1C[C@H]([C@@]2(CC[C@H]3C(=O)O[C@@H](C[C@@]3([C@H]2C1=O)C)C4=COC=C4)C)C(=O)OC,432.178,432.178,2.5
Lysyllysine,274.36,145,19,5,6,11,C(CCN)C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)O)N,274.2,274.2,-4.6
Alanine glutamate,218.21,130,15,4,6,6,C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)N,218.09,218.09,-3.8
Tamsulosin,408.5,108,28,2,7,11,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,408.172,408.172,2.7
Rufinamide,238.19,73.8,17,1,5,3,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F,238.067,238.067,0.7
Dexpanthenol,205.25,89.8,14,4,4,6,CC(C)(CO)[C@H](C(=O)NCCCO)O,205.131,205.131,-0.9
Fosamprenavir,585.6,186,39,4,11,14,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)OP(=O)(O)O)S(=O)(=O)C3=CC=C(C=C3)N,585.191,585.191,1.8
Rupatadine,416,29,30,0,3,2,CC1=CC(=CN=C1)CN2CCC(=C3C4=C(CCC5=C3N=CC=C5)C=C(C=C4)Cl)CC2,415.182,415.182,5.8
Aspartame,294.3,119,21,3,6,8,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N,294.122,294.122,-2.7
Pomalidomide,273.24,110,20,2,5,1,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,273.075,273.075,0.2
Phenylalanyltryptophan,351.4,108,26,4,4,7,C1=CC=C(C=C1)C[C@@H](C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)O)N,351.158,351.158,-0.8
"Thieno[2,3-b]thiophene",140.2,56.5,8,0,2,0,C1=CSC2=C1C=CS2,139.975,139.975,3
5-Methylthiazole,99.16,41.1,6,0,2,0,CC1=CN=CS1,99.0143,99.0143,1.4
Tempol,172.24,24.5,12,1,2,0,CC1(CC(CC(N1[O])(C)C)O)C,172.134,172.134,0.9
Methanedithiol,80.18,2,3,2,2,0,C(S)S,79.9754,79.9754,0.9
"2,4-Dimethyloxazole",97.12,26,7,0,2,0,CC1=COC(=N1)C,97.0528,97.0528,1.1
2-(n-Heptanoyl)thiophene,196.31,45.3,13,0,2,6,CCCCCCC(=O)C1=CC=CS1,196.092,196.092,3.7
Benzyl acetoacetate,192.21,43.4,14,0,3,5,CC(=O)CC(=O)OCC1=CC=CC=C1,192.079,192.079,1.8
"3,7,7-Trimethylbicyclo[4.1.0]heptan-3-ol",154.25,20.2,11,1,1,0,CC1(C2C1CC(CC2)(C)O)C,154.136,154.136,2.1
"Glycine, N-L-arginyl-",231.25,157,16,5,5,7,C(C[C@@H](C(=O)NCC(=O)O)N)CN=C(N)N,231.133,231.133,-4.9
Pro-val,214.26,78.4,15,3,4,4,CC(C)C(C(=O)O)NC(=O)C1CCCN1,214.132,214.132,-2.9
"2,5-Dimethyl-3-(methylthio)furan",142.22,38.4,9,0,2,1,CC1=CC(=C(O1)C)SC,142.045,142.045,2.3
Nitric Oxide,30.006,18.1,2,0,1,0,[N]=O,29.998,29.998,0.2
Sinensetin,372.4,72.4,27,0,7,6,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC,372.121,372.121,3
Proline,115.13,49.3,8,2,3,1,C1C[C@H](NC1)C(=O)O,115.063,115.063,-2.5
Chlorosoman,198.63,26.3,11,0,2,3,CC(C(C)(C)C)OP(=O)(C)Cl,198.058,198.058,2.4
Terephthalylidene dicamphor sulfonic acid,562.7,160,38,2,8,6,CC1(C2CCC1(C(=O)C2=CC3=CC=C(C=C3)C=C4C5CCC(C4=O)(C5(C)C)CS(=O)(=O)O)CS(=O)(=O)O)C,562.17,562.17,3.1
8-Hydroxy-7-methoxycoumarin,192.17,55.8,14,1,4,1,COC1=C(C2=C(C=C1)C=CC(=O)O2)O,192.042,192.042,1.5
Escitalopram,324.4,36.3,24,0,4,5,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,324.164,324.164,3.2
3-Methyl-2-butene-1-thiol,102.2,1,6,1,1,1,CC(=CCS)C,102.05,102.05,2
"1,2,3,4,6,7,8,8a-Octahydro-alpha,alpha,8,8a-tetramethylnaphthalene-2-methanol",222.37,20.2,16,1,1,1,CC1CCC=C2C1(CC(CC2)C(C)(C)O)C,222.198,222.198,3.5
"4-[4-[4-[4-[[(5R)-5-(2,4-difluorophenyl)-5-(1,2,4-triazol-1-ylmethyl)oxolan-3-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-2-[(2S,3S)-2-hydroxypentan-3-yl]-1,2,4-triazol-3-one",700.8,112,51,1,11,12,CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,700.33,700.33,4.6
